No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
4,2,philadelphia restaurant reviews,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491809
4,3,philadelphia restaurant reviews,Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270491809
4,4,philadelphia restaurant reviews,Restaurant Reviews,Why Eat at Places that Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Philadelphia, PA",1270491809
4,1,"restaurants philly""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491815
4,2,"restaurants philly""""",Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270491815
4,3,"restaurants philly""""",Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270491815
4,4,"restaurants philly""""",Cheeseburger in Paradise,Check Out What&#39;s New- Same Great Food &amp; Drinks w/ A Sports Updgrade! ,CheeseburgerInParadise.com/PA,,1270491815
1,1,"healthy restaurant""""",Health Food Restaurants,"Healthy Food, Delivery &amp; Take-Out Search Our Restaurant Listings Now! ",yellowpages.com,"Philadelphia, PA",1270491822
4,1,"restaurants philadelphia""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270491834
4,2,"restaurants philadelphia""""",Philly&#39;s Best at 50%+ Off,Exclusive Deals at Top Restaurants In Philadelphia-Join Today For Free ,BuyWithMe.com/Philadelphia,"Philadelphia, PA",1270491834
4,3,"restaurants philadelphia""""",Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270491834
4,4,"restaurants philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491834
3,1,"healthy restaurants""""",Healthy Eating,Learn about healthy eating tips that will make you more fit! ,www.dosomething.org,,1270491843
3,2,"healthy restaurants""""",Cheeseburger in Paradise,Check Out What&#39;s New- Same Great Food &amp; Drinks w/ A Sports Updgrade! ,CheeseburgerInParadise.com/PA,,1270491843
3,3,"healthy restaurants""""",Healthy Restaurants,Menu Labeling Leads to Calorie Cutting. Read More at That&#39;sFit. ,ThatsFit.com,,1270491843
3,1,"top philadelphia restaurants""""",Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1270491855
3,2,"top philadelphia restaurants""""",Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270491855
3,3,"top philadelphia restaurants""""",Philly Restaurant Guide,"Sign Up For Thrillist&#39;s Free, Daily Email Updates to Know The Latest ",Thrillist.com,"Philadelphia, PA",1270491855
4,1,healthy restaurant menus,Healthy Eating,Learn about healthy eating tips that will make you more fit! ,www.dosomething.org,,1270491863
4,2,healthy restaurant menus,Healthy Food Recipes,Simple Recipes to Keep Your Heart in Top Shape from Good Housekeeping ,GoodHousekeeping.com,,1270491863
4,3,healthy restaurant menus,Healthy Menus,Delicious healthy menus. healthy menus search. ,stellaskitchen.com/recipes,,1270491863
4,4,healthy restaurant menus,Healthy menus,"Easy, Healthy, &amp; Delicious Recipes For the Family to Enjoy Together! ",www.Shape.com,,1270491863
4,1,fun restaurants philadelphia,What&#39;s The Buzz About?,See for Yourself at the Chic New 10 Arts Bistro. Fresh American Menu. ,10arts.com,"Philadelphia, PA",1270491869
4,2,fun restaurants philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491869
4,3,fun restaurants philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270491869
4,4,fun restaurants philadelphia,Fun Restaurants,Search for Fun Restaurants Find Fun restaurants ,Ask.com,,1270491869
4,1,healthy restaurant menu,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491881
4,2,healthy restaurant menu,Healthy Eating,Learn about healthy eating tips that will make you more fit! ,www.dosomething.org,,1270491881
4,3,healthy restaurant menu,Restaurant Menus,Search for Restaurant Menus Find Restaurant menus ,Ask.com,,1270491881
4,4,healthy restaurant menu,Health Food Restaurant,"Health Food Restaurant Get Phone, Address, Directions, Web ",addresses.com,"Philadelphia, PA",1270491881
1,1,healthy restaurant guide,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270491889
4,1,"restaurant philly""""",Cheeseburger in Paradise,Check Out What&#39;s New- Same Great Food &amp; Drinks w/ A Sports Updgrade! ,CheeseburgerInParadise.com/PA,,1270491896
4,2,"restaurant philly""""",Philadelphia Dining Guide,"Reviews, Photos, Menus, Coupons Chef Profiles, Recipes, Events ",PhiladelphiaRestaurants.com,,1270491896
4,3,"restaurant philly""""",Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270491896
4,4,"restaurant philly""""",Free Food up to $10,Houlihan’s new small plates menu. Try a menu item for free. ,www.Houlihans.com/CityLine,"555 E City Ave, Belmont Hills, PA 19004",1270491896
3,1,"philadelphia romantic restaurants""""",Romantic Boutique Hotel,World&#39;s Largest Wine Bar Old City Philadelphia ,www.pennsviewhotel.com,"Philadelphia, PA",1270491902
3,2,"philadelphia romantic restaurants""""",Philadelphia Romantic,Look for Top-rated Romantic Dining near you with our Ratings! ,philadelphia.Citysearch.com,"Philadelphia, PA",1270491902
3,3,"philadelphia romantic restaurants""""",Romantic Restaurants,Unique Dining at Penn&#39;s Landing. Waterfront &amp; City Views. Call Now. ,www.Moshulu.com,"Philadelphia, PA",1270491902
4,1,"romantic restaurants in philadelphia""""",Romantic Boutique Hotel,World&#39;s Largest Wine Bar Old City Philadelphia ,www.pennsviewhotel.com,"Philadelphia, PA",1270491914
4,2,"romantic restaurants in philadelphia""""",Dante &amp;Luigi&#39;s Restaurant,"Italian Cuisine, Romantic &amp; Elegant atmosphere for special occasions ",www.danteandluigis.com,"Philadelphia, PA",1270491914
4,3,"romantic restaurants in philadelphia""""",Casual Romantic Dining,"Relaxed &amp; Friendly Near Rittenhouse 261 S. 21st St. Philadelphia, PA. ",www.fridaysaturdaysunday.com,,1270491914
4,4,"romantic restaurants in philadelphia""""",Philadelphia Romantic,Look for Top-rated Romantic Dining near you with our Ratings! ,philadelphia.Citysearch.com,"Philadelphia, PA",1270491914
4,1,good restaurants in philadelphia,Portofino Restaurant,Italian Restaurant in Philadelphia For Over 35 Years. 215-923-2808 ,www.Portofino1227Walnut.com,,1270491922
4,2,good restaurants in philadelphia,Top Deals in Philly,"Sign up now and get up to 85% off Philly top Restaurants, Spas &amp; More ",www.DealOn.com,"Philadelphia, PA",1270491922
4,3,good restaurants in philadelphia,Restaurants In Philadelphia,Philadelphia Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1270491922
4,4,good restaurants in philadelphia,Philadelphia Restaurants,Philadelphia Area Dining Guide. Complete Local Restaurant Listings. ,HelloPhiladelphia.com,,1270491922
4,1,top restaurants in philadelphia,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1270491928
4,2,top restaurants in philadelphia,Top Restaurant in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,,1270491928
4,3,top restaurants in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491928
4,4,top restaurants in philadelphia,Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270491928
3,1,romantic restaurant in philadelphia,Romantic Boutique Hotel,World&#39;s Largest Wine Bar Old City Philadelphia ,www.pennsviewhotel.com,"Philadelphia, PA",1270491938
3,2,romantic restaurant in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491938
3,3,romantic restaurant in philadelphia,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1270491938
2,1,best restaurant in philly,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270491951
2,2,best restaurant in philly,Dining in Philadelphia,Find Out About New Restaurants - But Only The Good Ones ,Thrillist.com,"Philadelphia, PA",1270491951
3,1,good restaurants philadelphia,Top Restaurant in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,,1270491965
3,2,good restaurants philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270491965
3,3,good restaurants philadelphia,Philadelphia food,"Taste Center City Gourmet Treats Gelato, Chocolate, Cheese &amp; More ",www.cityfoodtours.com,,1270491965
3,1,"best restaurant philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491972
3,2,"best restaurant philadelphia""""",Top Restaurant in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,,1270491972
3,3,"best restaurant philadelphia""""",Del Frisco&#39;s Las Vegas,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,"1426 Chestnut Street, Philadelphia, PA",1270491972
2,1,healthy dining restaurants,Panorama Ristorante,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,"14 N Front Street, Philadelphia, PA 19106",1270491984
2,2,healthy dining restaurants,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491984
4,1,"best restaurants philly""""",Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270491998
4,2,"best restaurants philly""""",Free Food up to $10,Houlihan’s new small plates menu. Try a menu item for free. ,www.Houlihans.com/CityLine,"555 E City Ave, Belmont Hills, PA 19004",1270491998
4,3,"best restaurants philly""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270491998
4,4,"best restaurants philly""""",Montgomery County Coupons,"Printable Coupons - up to 50% OFF Dining, Shopping, Health, Home ",www.neighborhoodpromos.com,"Philadelphia, PA",1270491998
2,1,south philly restaurant,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492005
2,2,south philly restaurant,Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270492005
2,1,top 10 restaurants in philadelphia,Top Restaurant in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,,1270492016
2,2,top 10 restaurants in philadelphia,Philadelphia Dining Guide,"Reviews, Photos, Menus, Coupons Chef Profiles, Recipes, Events ",PhiladelphiaRestaurants.com,,1270492016
4,1,fun restaurants in philadelphia,Panorama Ristorante,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,"14 N Front Street, Philadelphia, PA 19106",1270492027
4,2,fun restaurants in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492027
4,3,fun restaurants in philadelphia,Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492027
4,4,fun restaurants in philadelphia,Philadelphia Restaurants,Philadelphia Area Dining Guide. Complete Local Restaurant Listings. ,HelloPhiladelphia.com,,1270492027
4,1,"restaurants in philly""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492036
4,2,"restaurants in philly""""",Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270492036
4,3,"restaurants in philly""""",Restaurant.com®,Find Local Restaurants in Your Area Browse 1000s of Restaurants &amp; Save! ,www.Restaurant.com,,1270492036
4,4,"restaurants in philly""""",Dining in Philadelphia,Find Out About New Restaurants - But Only The Good Ones ,Thrillist.com,"Philadelphia, PA",1270492036
2,1,"best restaurants in philadelphia""""",Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270492042
2,2,"best restaurants in philadelphia""""",Top Restaurant in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,,1270492042
4,1,upscale restaurants in philadelphia,Philadelphia Upscale,Enjoy Downtown Philadelphia Views. Hotel Packages Starting at $199! ,www.RitzCarlton.com/Philadelphia,,1270492056
4,2,upscale restaurants in philadelphia,Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270492056
4,3,upscale restaurants in philadelphia,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1270492056
4,4,upscale restaurants in philadelphia,Moshulu Restaurant Phila,Unique Dining at Penn&#39;s Landing. Waterfront &amp; City Views. Call Now. ,www.Moshulu.com,,1270492056
4,1,gluten free restaurants in philadelphia,Enjoy Gluten Free Pizza,Delicious Authentic Tasting Eat at your local pizzeria ,www.stillridingpizza.com,,1270492067
4,2,gluten free restaurants in philadelphia,Gluten Free Restaurants,Dining Gluten-Free is easy at Carrabba&#39;s. View our GF menu. ,www.Carrabbas.com/Menu,"Philadelphia, PA",1270492067
4,3,gluten free restaurants in philadelphia,Celiac Restauarant Guide,"5,000 Celiac-Friendly Restaurants in Best-Selling Guide, $24. ",www.TriumphDining.com,,1270492067
4,4,gluten free restaurants in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492067
4,1,nice restaurants in philadelphia,Top Expensive Restaurant,Reserve Your Table At The Top-Rated Four Seasons Fountain Restaurant. ,FourSeasons.com/Philadelphia,,1270492076
4,2,nice restaurants in philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492076
4,3,nice restaurants in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492076
4,4,nice restaurants in philadelphia,Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270492076
4,1,great restaurants in philadelphia,Top Romantic Restaurant,Reserve Your Table At The Top-Rated Four Seasons Fountain Restaurant. ,FourSeasons.com/Philadelphia,,1270492087
4,2,great restaurants in philadelphia,Dante &amp;Luigi&#39;s Restaurant,"Italian Cuisine, Romantic &amp; Elegant atmosphere for special occasions ",www.danteandluigis.com,"Philadelphia, PA",1270492087
4,3,great restaurants in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492087
4,4,great restaurants in philadelphia,Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270492087
4,1,unique restaurants in philadelphia,10 Arts Bistro &amp; Lounge,"Try a Philly favorite - Philly Pretzel Bites, TastyKake Ice Cream ",10arts.com,"Philadelphia, PA",1270492102
4,2,unique restaurants in philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492102
4,3,unique restaurants in philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492102
4,4,unique restaurants in philadelphia,Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492102
4,1,best romantic restaurants in philadelphia,Romantic Boutique Hotel,World&#39;s Largest Wine Bar Old City Philadelphia ,www.pennsviewhotel.com,"Philadelphia, PA",1270492112
4,2,best romantic restaurants in philadelphia,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1270492112
4,3,best romantic restaurants in philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492112
4,4,best romantic restaurants in philadelphia,Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270492112
2,1,best new restaurants philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492124
2,2,best new restaurants philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492124
1,1,"south philly restaurants""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492133
2,1,"South st restaurants philly""""",Restaurant.com®,Find Local Restaurants in Your Area Browse 1000s of Restaurants &amp; Save! ,www.Restaurant.com,,1270492142
2,2,"South st restaurants philly""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492142
2,1,"south street restaurants philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492151
2,2,"south street restaurants philadelphia""""",Philadelphia Restaurants,Philadelphia Area Dining Guide. Complete Local Restaurant Listings. ,HelloPhiladelphia.com,,1270492151
3,1,"healthy restaurants in philly""""",Award-Winning Restaurant,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,,1270492169
3,2,"healthy restaurants in philly""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492169
3,3,"healthy restaurants in philly""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492169
3,1,"healthy restaurants philly""""",Award-Winning Restaurant,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,,1270492179
3,2,"healthy restaurants philly""""",Cheeseburger in Paradise,Check Out What&#39;s New- Same Great Food &amp; Drinks w/ A Sports Updgrade! ,CheeseburgerInParadise.com/PA,,1270492179
3,3,"healthy restaurants philly""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492179
3,1,"healthy restaurants in philadelphia""""",Panorama Ristorante,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,"14 N Front Street, Philadelphia, PA 19106",1270492185
3,2,"healthy restaurants in philadelphia""""",Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270492185
3,3,"healthy restaurants in philadelphia""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492185
2,1,"healthy restaurants philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492199
2,2,"healthy restaurants philadelphia""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492199
1,1,"restaurants on south street""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492212
3,1,5 star restaurants philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492226
3,2,5 star restaurants philadelphia,Philadelphia Restaurants,Find Out About New Restaurants - But Only The Good Ones ,Thrillist.com,"Philadelphia, PA",1270492226
3,3,5 star restaurants philadelphia,Philadelphia Restaurants,Find listings &amp; reviews for top restaurants in Philadelphia. ,yellowpages.com,"Philadelphia, PA",1270492226
1,1,restaurants near south street philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492236
2,1,top 10 restaurants philadelphia,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492249
2,2,top 10 restaurants philadelphia,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492249
4,1,"best restaurants in philly""""",Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270492264
4,2,"best restaurants in philly""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492264
4,3,"best restaurants in philly""""",Dining in Philadelphia,Find Out About New Restaurants - But Only The Good Ones ,Thrillist.com,"Philadelphia, PA",1270492264
4,4,"best restaurants in philly""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492264
4,1,"top philly restaurants""""",Free Food up to $10,Houlihan’s new small plates menu. Try a menu item for free. ,www.Houlihans.com/CityLine,"555 E City Ave, Belmont Hills, PA 19004",1270492275
4,2,"top philly restaurants""""",Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1270492275
4,3,"top philly restaurants""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492275
4,4,"top philly restaurants""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492275
1,1,"organic restaurants in philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492281
1,1,"organic restaurants philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492295
