No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
2,2,Seattle Bar restaurant,Seattle Bar Menu,Look for Top-rated Bar Menu near you with our Ratings! ,seattle.Citysearch.com,,1269132615
1,1,Nashville Bar restaurant,Nashville Restaurants,Find listings &amp; reviews for top restaurants in Nashville. ,yellowpages.com,"Nashville, TN",1269132622
3,1,Las Vegas Bar restaurant,Las Vegas Restaurants,Find local restaurants in the Las Vegas area. ,www.DexKnows.com,,1269132638
3,2,Las Vegas Bar restaurant,Bar Restaurant Las Vegas,Build Your Own Gourmet Burger. Close To Strip. View Menu Online. ,www.grindburgers.com,,1269132638
3,3,Las Vegas Bar restaurant,Las Vegas Restaurants,Find listings &amp; reviews for top restaurants in Las Vegas. ,yellowpages.com,"Las Vegas, NV",1269132638
1,1,Portland Bar restaurant,Portland Bars,"Find Portland Bars, Pubs, Wine Bars &amp; Happy Hours near you with LivePDX ",www.LivePDX.com,"Portland, OR",1269132646
2,1,Louisville Bar restaurant,Downtown Louisville Bar,Exceptional Ambiance &amp; Culinary Expertise. Let Your Night Begin! ,MakersLounge.com,"446 South 4th Street, Louisville, KY",1269132658
2,2,Louisville Bar restaurant,Louisville Restaurant,Louisville Area Dining Guide. Complete Local Restaurant Listings. ,HelloLouisville.com,,1269132658
1,1,Oklahoma City Bar restaurant,Oklahoma City Restaurants,Oklahoma City Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132666
1,1,Atlanta Bar restaurant,Restaurant Bar,Great Specials Every Day. Visit Houlihan&#39;s Today. ,Houlihans.com/Specials,"1401 Johnson Ferry Rd, Marietta, GA",1269132681
2,1,Albuquerque Bar restaurant,Popular Albuquerque Bars,Sign Up For 1 Amazing Deal A Day On Albuquerque&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Albuquerque,"Albuquerque-Santa Fe, NM",1269132690
2,2,Albuquerque Bar restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269132690
1,1,Fresno Bar restaurant,Popular Fresno Bars,Sign Up For 1 Amazing Deal A Day On Fresno&#39;s Best Local Bars &amp; Fun! ,www.Groupon.com/Fresno,"Fresno-Visalia, CA",1269132702
1,1,Sacramento Bar restaurant,Melting Pot - Sacramento,"Fondue, Fine Wine, Fun, Birthdays. Dip Into Romantic Fondue Specials. ",www.meltingpot.com,,1269132711
2,1,Long Beach Bar restaurant,Long Beach Restaurant Bar,Variety of Sports Played on our TVs Great Food. Many Events. Come Over! ,www.TheSpringbok.com/Restaurant,"423 Shoreline Village Dr, Long Beach, CA",1269132723
2,2,Long Beach Bar restaurant,Long Beach Restaurant,Long Beach Area Dining Guide. Complete Local Restaurant Listings. ,HelloLongBeach.com,,1269132723
1,1,Mesa Bar restaurant,Mesa Local Guide,Find Mesa Bar Faster &amp; More Easily w/Bing ™-the Decision Engine ,www.bing.com/Local,,1269132730
1,1,Kansas City Bar restaurant,kansas city restaurants,KC&#39;s Premier Dining Establishment. Enjoy World-Class Dining in KC. ,PowerAndLightDistrict.com/Dining,"Kansas City, MO",1269132743
1,1,Omaha Bar restaurant,Omaha Restaurants,Find listings &amp; reviews for top restaurants in Omaha. ,yellowpages.com,"Omaha, NE",1269132753
1,1,Cleveland Bar restaurant,Restaurant Cleveland,"Cleveland OH Vacations, Restaurants Hotels, Events &amp; Meeting Planning. ",www.PositivelyCleveland.com,,1269132767
1,1,Virginia Beach Bar restaurant,Local Restaurant Guide,"Search Our Restaurant Listings For Diners, Cafes, Delivery &amp; Take-Out! ",yellowpages.com,"Virginia Beach, VA",1269132775
1,1,Miami Bar restaurant,Miami Restaurants Bar,Miami&#39;s Big. Find Out Where to Go Before the People Who Suck Do. ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269132786
5,1,Oakland Bar restaurant,Improv Theater Shows,Live Improv Theater Shows - Oakland Tickets $10 One Block from BART ,www.PanTheater.com,,1269132791
5,2,Oakland Bar restaurant,Oakland Restaurant,Oakland Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132791
5,3,Oakland Bar restaurant,Chili&#39;s Grill &amp; Bar,All of Our Appetizers Are Made To Order &amp; Too Good Not To Share! ,www.Chilis.com,,1269132791
5,4,Oakland Bar restaurant,Bar Restaurant,Prime Spot Bar and Grill in Oakland CA. Delicious Steak and Prime Rib. ,PrimeSpotBarAndGrill.com,"San Francisco-Oakland-San Jose, CA",1269132791
5,5,Oakland Bar restaurant,Restaurante Oakland,Encuentra el restaurante o bar que buscas en Oakland online ahora! ,www.SeccionAmarillaUS.com,,1269132791
2,1,Raleigh Bar restaurant,Raleigh Bar Deals,Sign Up For 1 Awesome Deal A Day On Raleigh&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Raleigh,"Raleigh-Durham (Fayetteville), NC",1269132806
2,2,Raleigh Bar restaurant,Raleigh Bar Scene,Look for Top-rated Bar Scene near you with our Ratings! ,triangle.Citysearch.com,,1269132806
1,1,Minneapolis Bar restaurant,Bar Restaurants Minneapolis,Innovative Food &amp; Beverages. Great Service. Make a Reservation Today. ,www.thehotelminneapolis.com,,1269132825
1,1,Colorado Springs Bar restaurant,Colorado Springs Restaurants,"Find Business Phone Numbers, Prices Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132840
1,1,Arlington Bar restaurant,Arlington Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269132861
1,1,Vancouver Bar restaurant,Top Vancouver Restaurants,Enjoy Vancouver BC Restaurants. Award Winning Fare for All Tastes! ,HelloBC.com/VancouverDining,,1269132870
1,1,London Bar restaurant,London Restaurants,Special offers and reviews for restaurants in London. Book online. ,www.toptable.com/London,,1269132880
1,1,New York Wine Bar restaurant,New York Wine Bars,Look for Top-rated Wine Bars near you with our Ratings! ,newyork.Citysearch.com,"New York, NY",1269132920
3,1,Los Angeles Wine Bar restaurant,Wine of the Month Clubs,Chose from 3 clubs. 12 Reds whites or a mix for only $69 ,GiftsForWineLovers.webs.com,,1269132929
3,2,Los Angeles Wine Bar restaurant,Hip wine tasting in LA,"Funky, fun wine tasting &amp; classes for all levels of winos! ",www.citysipla.com,"Los Angeles, CA",1269132929
3,3,Los Angeles Wine Bar restaurant,LA Restaurant Directory,Find listings &amp; reviews for top restaurants in Los Angeles. ,yellowpages.com,"Los Angeles, CA",1269132929
1,1,Houston Wine Bar restaurant,"Del Frisco&#39;s Houston, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269132942
1,1,Phoenix Wine Bar restaurant,Phoenix Restaurants,Find local restaurants in the Phoenix area. ,www.DexKnows.com,,1269132947
1,1,Philadelphia Wine Bar restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269132954
1,1,San Antonio Wine Bar restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine. Fun, Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269132964
1,1,Dallas Wine Bar restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269132979
1,1,San Diego Wine Bar restaurant,Bistro West Restaurant,Enjoy Fresh Dishes &amp; Ingredients. Join Us For Dinner and Happy Hour. ,www.bistrowest.com,"4960 Avenida Encinas, Carlsbad, CA",1269132988
1,1,Detroit Wine Bar restaurant,Detroit Restaurant Guide,"Search Our Restaurant Listings For Diners, Cafes, Delivery &amp; Take-Out! ",yellowpages.com,"Detroit, MI",1269133007
1,1,San Francisco Wine Bar restaurant,San Francisco Wine Bars,Best of Citysearch Winner! Come Experience First Crush For Yourself ,www.FirstCrush.com,,1269133014
1,1,Austin Wine Bar restaurant,Malaga Tapas &amp; Bar,Cooking and Wine Classes. Private Parties. Catering. Call to Inquire. ,www.MalagaTapasBar.com,"440 West 2nd Street, Austin, TX 78701",1269133046
1,1,Fort Worth Wine Bar restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269133064
1,1,Charlotte Wine Bar restaurant,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269133074
1,1,Baltimore Wine Bar restaurant,"Sullivan&#39;s Baltimore, MD","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.SullivanSteakHouse.com,,1269133094
1,1,Seattle Wine Bar restaurant,Capitol Hill&#39;s wine bar,"Featuring NW wines &amp; other regions Relaxing ambiance, yummy appetizers ",www.pocowineroom.com,"Seattle-Tacoma, WA",1269133144
1,1,Las Vegas Wine Bar restaurant,Del Frisco&#39;s Las Vegas,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269133176
1,1,Portland Wine Bar restaurant,Portland Wine Bars,Read Local review on Wine Bars on Citysearch. Try it now! ,portland.Citysearch.com,"Portland, OR",1269133185
1,1,Louisville Wine Bar restaurant,Melting Pot Louisville,"Fondue, Fine Wine. Fun &amp; Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269133193
1,1,Oklahoma City Wine Bar restaurant,Oklahoma City Restaurants,Oklahoma Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133207
1,1,Tucson Wine Bar restaurant,Wine Depot Tucson,Voted Tucson&#39;s #1 Wine Shop Handcrafted Old World Wines ,www.WineDepotTucson.com,"Tucson, AZ",1269133215
1,1,Atlanta Wine Bar restaurant,Atlanta Wine Bars,Look for Top-rated Wine Bars near you with our Ratings! ,Atlanta.Citysearch.com,,1269133228
1,1,Albuquerque Wine Bar restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269133571
1,1,Sacramento Wine Bar restaurant,Back Wine Bar,Folsom&#39;s Premier Wine Bar &amp; Bistro Taste 30+ Unique Wines By The Glass ,www.backwinebar.com,"Folsom, CA",1269133586
1,1,Long Beach Wine Bar restaurant,Long Beach Restaurant Bar,Variety of Sports Played on our TVs Great Food. Many Events. Come Over! ,www.TheSpringbok.com/Restaurant,"423 Shoreline Village Dr, Long Beach, CA",1269133593
1,1,Miami Wine Bar restaurant,Miami Restaurants Bar,Miami&#39;s Big. Find Out Where to Go Before the People Who Suck Do. ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269133668
1,1,Oakland Wine Bar restaurant,Wine Bar Restaurant,"N. Beach Wine, Tapas &amp; Music SF. Call For Private Parties &amp; Events ",www.Delluva.homestead.com,,1269133677
1,1,Colorado Springs Wine Bar restaurant,Colorado Springs Restaurants,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269133717
1,1,Arlington Wine Bar restaurant,Arlington Restaurants,Arlington Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133737
1,1,Vancouver Wine Bar restaurant,New Wine Restaurant,Seasons 52 Grill &amp; Wine - Opens March 29. Make Reservations Online! ,Seasons52.com/King_Of_Prussia,,1269133750
1,1,Melbourne Wine Bar restaurant,New Wine Restaurant,Seasons 52 Grill &amp; Wine - Opens March 29. Make Reservations Online! ,Seasons52.com/King_Of_Prussia,,1269133790
1,1,New York Irish bar restaurant,New York Irish Bars,Look for Top-rated Irish Bars near you with our Ratings! ,newyork.Citysearch.com,"New York, NY",1269133802
1,1,Los Angeles Irish bar restaurant,Los Angeles Irish Restaurant,Los Angeles Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133811
1,1,Chicago Irish bar restaurant,Irish Bars Chicago,Discover all the Irish bars and pubs in and around Chicago ,www.barmano.com/irish-bars,"Chicago, IL",1269133823
1,1,Houston Irish bar restaurant,"Del Frisco&#39;s Houston, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269133833
1,1,Phoenix Irish bar restaurant,Phoenix Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269133847
3,1,Philadelphia Irish bar restaurant,Philadelphia Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269133852
3,2,Philadelphia Irish bar restaurant,Philly Knows How To Party,"Visit the Hottest Bars in Old City, Rittenhouse &amp; University City ",www.phillybars215.com,,1269133852
3,3,Philadelphia Irish bar restaurant,Irish Pub in Philadelphia,Irish Saloon &amp; Restaurant Come Join Us For Great Food and Drinks Daily ,McFaddensPhilly.com,"461 North 3rd St, Philadelphia, PA 191123",1269133852
1,1,San Antonio Irish bar restaurant,San Antonio Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269133866
1,1,Dallas Irish bar restaurant,Dallas Irish Restaurant,Dallas Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133880
1,1,San Diego Irish bar restaurant,San Diego Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269133890
1,1,Detroit Irish bar restaurant,Detroit Irish Restaurant,Detroit Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133912
1,1,San Francisco Irish bar restaurant,Irish Bars San Francisco,Discover all the Irish bars and pubs in and around San Francisco ,www.barmano.com/irish-bars/,"San Francisco-Oakland-San Jose, CA",1269133920
1,1,Indianapolis Irish bar restaurant,Indianapolis Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269133943
1,1,Austin Irish bar restaurant,Austin Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269133957
1,1,Columbus Irish bar restaurant,Columbus Irish Restaurant,Columbus Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133969
2,1,Fort Worth Irish bar restaurant,Restaurant bar,"Happy Hour All Day - Everyday Wings, Burgers, Wraps and Salads ",BoomerjacksGrillandBar.AdzZoo.com,"Ft Worth, TX",1269133984
2,2,Fort Worth Irish bar restaurant,Fort Worth Irish Restaurant,Fort Worth Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133984
1,1,Charlotte Irish bar restaurant,Charlotte Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269133992
1,1,Memphis Irish bar restaurant,Memphis Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134007
1,1,El Paso Irish bar restaurant,El Paso Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269134031
1,1,Milwaukee Irish bar restaurant,Irish Pubs Milwaukee,Discover all the Irish bars and pubs in and around Milwaukee ,www.barmano.com/irish-bars,"Milwaukee, WI",1269134038
1,1,Denver Irish bar restaurant,Denver Irish Restaurant,Denver Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134044
1,1,Seattle Irish bar restaurant,Irish Pubs in Seattle,"The Irish Heritage Club&#39;s List Of Pubs, Watering Holes, &amp; Restaurants ",www.IrishClub.org/IrishPubs,Washington,1269134056
1,1,Nashville Irish bar restaurant,Nashville Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134063
1,1,Las Vegas Irish bar restaurant,Las Vegas Irish Restaurant,Las Vegas Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134085
1,1,Portland Irish bar restaurant,Portland Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134099
1,1,Oklahoma City Irish bar restaurant,Oklahoma City Irish Restaurant,Oklahoma Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134119
1,1,Tucson Irish bar restaurant,Tucson Irish Restaurant,Tucson Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134131
1,1,Atlanta Irish bar restaurant,Atlanta Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134143
1,1,Albuquerque Irish bar restaurant,Albuquerque Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269134148
1,1,Fresno Irish bar restaurant,Fresno Irish Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134163
1,1,Sacramento Irish bar restaurant,Sacramento Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269134175
1,1,Long Beach Irish bar restaurant,Long Beach Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134186
1,1,Mesa Irish bar restaurant,Mesa Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134192
1,1,Virginia Beach Irish bar restaurant,Virginia Beach Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140370
1,1,Miami Irish bar restaurant,Miami Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140382
1,1,Oakland Irish bar restaurant,Oakland Irish Restaurant,Oakland Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140394
1,1,Raleigh Irish bar restaurant,Raleigh Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140408
1,1,Tulsa Irish bar restaurant,Tulsa Irish Restaurant,Tulsa Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140421
1,1,Honolulu Irish bar restaurant,Honolulu Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140455
1,1,Arlington Irish bar restaurant,Arlington Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269140461
1,1,Shanghai Irish bar restaurant,Restaurant Guide Shanghai,"Photos, Menus &amp; Reviews: Reserve your favorite Restaurant online! ",www.diningcity.com/shanghai,,1269140496
1,1,New York Middle Eastern restaurant,Bing ™ Search Local,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140517
1,1,Los Angeles Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269140530
2,1,Chicago Middle Eastern restaurant,Middle Eastern Food,"falafel hummos shawarma kabobs Quality for less, cater and deliver ",www.jerusalemcafe-oakpark.com,"1030 Lake St, Oak Park, IL 60301",1269140536
2,2,Chicago Middle Eastern restaurant,Middle Eastern Restaurant,"Find Restaurants Serving Delicious Middle Eastern Food in Chicago, IL ",www.LocalBizNOW.com,"Chicago, IL",1269140536
1,1,Houston Middle Eastern restaurant,Bing ™ Search Local,Houston Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140551
1,1,Phoenix Middle Eastern restaurant,Middle-East Restaurants,Phoenix middle-east restaurants. Find local businesses on DexKnows. ,www.DexKnows.com,,1269140559
2,1,Dallas Middle Eastern restaurant,Dallas Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269140585
2,2,Dallas Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,dallas.local.com,"Dallas, TX",1269140585
1,1,San Diego Middle Eastern restaurant,Aladdin Restaurant,"Eat Healthy, Come to Aladdin! Fresh Mediterranean Cuisine ",AladdinCafe.com,5420 Clairemont Mesa Blvd #101,1269140599
1,1,San Jose Middle Eastern restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269140612
1,1,Detroit Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,www.local.com,"Detroit, MI",1269140620
1,1,San Francisco Middle Eastern restaurant,Middle Eastern Food in SF,Delivery Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269140630
1,1,Jacksonville Middle Eastern restaurant,Bing ™ Search Local,Jacksonville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140645
1,1,Austin Middle Eastern restaurant,Austin Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269140661
1,1,Columbus Middle Eastern restaurant,Bing™ Search Local,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140666
1,1,Fort Worth Middle Eastern restaurant,Bing ™ Search Local,Fort Worth Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140678
1,1,Memphis Middle Eastern restaurant,Memphis Restaurants Info,Indulge in the Best Food Anywhere Travel to Memphis and Taste it All ,www.MemphisTravel.com/Dining-Info,,1269140701
