No. Of Ads,Ranking,rank/ads,Target,Keywords,Header,Text,URL,Location,Timestamp
3,1,0.333333333,1,Virginia Beach romantic restaurant,"White Post, VA Restaurant",Award Winning French Restaurant &amp; Exclusive Country Inn in Virginia. ,www.LaubergeProvencale.com,,1269154277
2,2,1,0,Charlotte best restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations ",www.sullivansteakhouse.com,,1269155449
2,1,0.5,1,Charlotte best restaurant,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269155449
2,1,0.5,1,Charlotte Brazilian steakhouse,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148678
3,2,0.666666667,1,Charlotte Steakhouse restaurant,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053246
4,3,0.75,0,Dallas fine dining restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153409
3,2,0.666666667,1,Dallas Steak restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053690
2,2,1,0,Dallas Steakhouse restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053147
2,1,0.5,1,Fort Worth fine dining restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153511
2,1,0.5,1,Fort Worth Greek restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148103
2,1,0.5,1,Fort Worth Steak restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269054154
2,1,0.5,1,Fort Worth Steakhouse restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053232
2,1,0.5,1,Houston best restaurant,"Del Frisco&#39;s Houston, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269155309
3,2,0.666666667,1,Houston Steak restaurant,"Del Frisco&#39;s Houston, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053650
2,2,1,0,London fine dining restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153842
3,2,0.666666667,1,Melbourne fine dining restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153875
2,2,1,0,Mesa fine dining restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153703
3,2,0.666666667,1,New York Steak restaurant,"Del Frisco&#39;s New York, NY","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,"New York, NY",1269053624
4,1,0.25,1,Philadelphia Bar restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269132416
3,1,0.333333333,1,Philadelphia best restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269155323
2,1,0.5,1,Austin best restaurant,"Sullivan&#39;s Austin, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269155413
2,1,0.5,1,Austin fine dining restaurant,"Sullivan&#39;s Austin, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269153491
3,2,0.666666667,1,Austin Steak restaurant,"Sullivan&#39;s Austin, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054143
3,2,0.666666667,1,Charlotte romantic restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269154040
3,2,0.666666667,1,Charlotte Steak restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054168
3,3,1,0,Charlotte Steakhouse restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269053246
3,2,0.666666667,1,Chicago Steakhouse restaurant,"Sullivan&#39;s Chicago, IL","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,"Chicago, IL",1269053098
2,1,0.5,1,Denver Steak restaurant,"Sullivan&#39;s Denver, CO","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054222
2,2,1,0,Indianapolis best restaurant,Sullivan&#39;s Indianapolis,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269155401
2,2,1,0,Indianapolis fine dining restaurant,Sullivan&#39;s Indianapolis,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269153477
2,2,1,0,Indianapolis Steak restaurant,Sullivan&#39;s Indianapolis,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269053752
2,2,1,0,Indianapolis Steakhouse restaurant,Sullivan&#39;s Indianapolis,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269053198
2,1,0.5,1,London Steakhouse restaurant,Sullivan&#39;s Steakhouse PA.,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269053575
2,1,0.5,1,Omaha Steakhouse restaurant,"Sullivan&#39;s Omaha, NE","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269053475
3,1,0.333333333,1,Raleigh best restaurant,"Sullivan&#39;s Raleigh, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.SullivanSteakHouse.com,,1269155987
2,1,0.5,1,Raleigh Mexican restaurant,"Sullivan&#39;s Raleigh, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.SullivanSteakHouse.com,,1269152995
2,1,0.5,1,Raleigh Steakhouse restaurant,"Sullivan&#39;s Raleigh, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.SullivanSteakHouse.com,,1269053519
3,1,0.333333333,1,Tucson Steak restaurant,"Sullivan&#39;s Tucson, AZ","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054307
3,3,1,0,Boston best restaurant,Providence Restaurants,Awarded Best Italian Wine List Pane e Vino-Historic Federal Hill ,www.panevino.net,"Boston, MA",1269155474
3,3,1,0,Boston fine dining restaurant,Providence Restaurants,Awarded Best Italian Wine List Pane e Vino-Historic Federal Hill ,www.panevino.net,"Boston, MA",1269153545
3,2,0.666666667,1,Los Angeles Indian restaurant,Flavor of India,Best Indian Food in Los Angeles Home style Indian Cooking ,www.flavorofindia.com,"9045 Santa Monica Blvd, West Hollywood",1269055890
2,2,1,0,Los Angeles Vegetarian restaurant,Flavor of India,Best Indian Food in Los Angeles Home style Indian Cooking ,www.flavorofindia.com,"9045 Santa Monica Blvd, West Hollywood",1269054547
2,1,0.5,1,Kansas City Thai restaurant,Masalas Indian Restaurant,Best Indian Restaurant Kansas City Indian Buffet Overland Park KC ,www.kcmasalas.com,"7301 91st Street, Overland Park, KS 66212",1269049772
2,1,0.5,1,Baltimore romantic restaurant,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Maryland,1269154063
3,1,0.333333333,1,Mesa romantic restaurant,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1269154237
2,2,1,0,Miami Brazilian steakhouse,Flamma Brazilian Steak,Brazilian steakhouse Churrascaria North Miami Beach Fl 33160 ,www.flammasteakhouse.com,,1269150512
3,2,0.666666667,1,Austin Mexican restaurant,Austin Mexican Restaurant,"Breakfast, Lunch, &amp; Dinner. Enjoy Comfortable &amp; Casual Dining Today! ",ElBorregoDeOro.com,,1269152701
3,2,0.666666667,1,Las Vegas Bar restaurant,Bar Restaurant Las Vegas,Build Your Own Gourmet Burger. Close To Strip. View Menu Online. ,www.grindburgers.com,,1269132638
3,1,0.333333333,1,San Francisco French restaurant,French Restaurant,Café Claude - A French Restaurant Fantastic Food At Reasonable Prices ,www.cafeclaude.com,"San Francisco, CA",1269147231
2,1,0.5,1,San Francisco Bar restaurant,Bar &amp; Restaurant,Café Claude - Classic French Bistro Discover France In San Francisco! ,www.cafeclaude.com,"San Francisco, CA",1269132476
4,2,0.5,1,Colorado Springs fine dining restaurant,Colorado Springs Events,"Calendar of Arts, Music, Festivals, Fun in Colorado Springs Metro Area. ",www.PeakRadar.com,"Colorado Springs-Pueblo, CO",1269153807
2,2,1,0,New York Mediterranean restaurant,Belly Dancer Restaurant,Casa La Femme New York Romantic Middle Eastern Restaurant ,www.casalafemmeny.com,"New York, NY",1269142052
4,3,0.75,0,San Diego Steakhouse restaurant,The Shores Restaurant,Casual Ocean Front Dining. Great Views &amp; Wine. Reservations Online. ,www.TheShoresRestaurant.com,,1269053159
2,1,0.5,1,Atlanta Steak restaurant,Fleming&#39;s in Atlanta,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Georgia,1269054313
2,1,0.5,1,Atlanta Steakhouse restaurant,Fleming&#39;s in Atlanta,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Georgia,1269053412
3,3,1,0,Austin Steak restaurant,Fleming&#39;s in Texas,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Texas,1269054143
2,1,0.5,1,Baltimore Steak restaurant,Fleming&#39;s in Baltimore,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Maryland,1269054185
3,1,0.333333333,1,Charlotte Steakhouse restaurant,Fleming&#39;s North Carolina,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,North Carolina,1269053246
3,3,1,0,Chicago Steakhouse restaurant,Fleming&#39;s in Chicago,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,"Chicago, IL",1269053098
2,1,0.5,1,Cleveland fine dining restaurant,Fleming&#39;s in Ohio,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Ohio,1269153739
2,1,0.5,1,Las Vegas Steak restaurant,Fleming&#39;s in Las Vegas,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Nevada,1269054261
4,2,0.5,1,San Diego Steak restaurant,Fleming&#39;s in California,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,California,1269053699
3,1,0.333333333,1,Boston best restaurant,Fleming&#39;s in Boston,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Massachusetts,1269155474
2,1,0.5,1,Boston Steakhouse restaurant,Fleming&#39;s in Boston,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Massachusetts,1269053284
2,1,0.5,1,Indianapolis fine dining restaurant,Fleming&#39;s in Indianapolis,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Indiana,1269153477
2,1,0.5,1,Indianapolis Steak restaurant,Fleming&#39;s in Indianapolis,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Indiana,1269053752
2,1,0.5,1,Las Vegas Steakhouse restaurant,Fleming&#39;s in Las Vegas,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Nevada,1269053364
2,1,0.5,1,Nashville Steak restaurant,Fleming&#39;s in Tennessee,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Tennessee,1269054240
2,1,0.5,1,San Antonio Steak restaurant,Fleming&#39;s in Texas,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Texas,1269053678
2,1,0.5,1,San Antonio Steakhouse restaurant,Fleming&#39;s in Texas,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Texas,1269053133
4,1,0.25,1,San Diego Steakhouse restaurant,Fleming&#39;s in California,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,California,1269053159
2,2,1,0,New York best restaurant,Aureole New York,Charlie Palmer&#39;s Progressive American Dining on One Bryant Park ,www.charliepalmer.com,,1269155286
4,2,0.5,1,New York fine dining restaurant,New York City Restaurant,Charming Italian restaurant located in Manhattan&#39;s Theater District ,www.dopoteatro.com,,1269153327
4,4,1,0,San Diego Italian restaurant,Featured Restaurants,Check out San Diego Restaurants San Diego Local News &amp; Information ,www.Sdnn.com/restaurants,"San Diego, CA",1269048778
4,2,0.5,1,Chicago Italian restaurant,Italian Restaurant,Chicago Italian Dining &amp; Wine Bar. 1/2 Price Bottles Mondays-Call Now. ,www.salutewinebars.com,"Chicago, IL",1269048710
3,3,1,0,Chicago Chinese restaurant,Upscale Dining - Chicago,"Chicago&#39;s Premier Restaurants, Dining Events, Wine Tastings &amp; More ",www.StyleChicago.com,,1269050153
3,3,1,0,Chicago Indian restaurant,Upscale Dining - Chicago,"Chicago&#39;s Premier Restaurants, Dining Events, Wine Tastings &amp; More ",www.StyleChicago.com,,1269055896
4,2,0.5,1,Chicago best restaurant,Lawry&#39;s The Prime Rib,Chicago&#39;s top prime rib steakhouse. Book dinner online today. ,www.LawrysOnline.com,,1269155301
2,1,0.5,1,New York Thai restaurant,FireBird Restaurant NYC,Close to all the Shows Dining In the Theater District ,www.firebirdrestaurant.com,,1269049407
3,1,0.333333333,1,Minneapolis fine dining restaurant,Minneapolis French Dining,Collete Bar &amp; Bistro - A New Twist on French Cuisine. Reserve Now! ,www.SofitelmplsDining.com,,1269153795
2,1,0.5,1,Washington Brazilian steakhouse,Charbroil Grill,Come and enjoy the best brazilian steak house in Virginia ,charbroilgrillsteakhouse.com,"14239 Potomac Mills Rd, Woodbridge, VA",1269150343
4,1,0.25,1,Atlanta Tapas restaurant,Olive Garden® Restaurant,"Come In &amp; Try New Grilled Steak Fonduta, Complete With Fettuccine! ",www.OliveGarden.com,,1269150939
2,2,1,0,San Jose best restaurant,Tigelleria Restaurant,"Cucina Organica Tipica Italiana Food, Art and Culture ",www.tigelleria.com,"76 East Campbell Ave., Campbell, CA",1269155362
2,2,1,0,Raleigh Chinese restaurant,China Express,"Delicious Chinese food. RTP, NC Great food. Online Menu. Delivery ",rtp-chinaexpress.com,"2223 Nc-54, Durham, NC 27713-5233",1269050609
4,4,1,0,New York Spanish restaurant,Visit La Pequeña Colombia,Delicious Colombian &amp; Spanish Food! Great service &amp; ambiance since 1984 ,www.pequenacolombia.com,"New York, NY",1269151156
2,1,0.5,1,Kansas City best restaurant,Kansas City Dining,Delicious Home-Cooked Food in a Great Atmosphere. Stop By Today! ,www.HumblePieSoulFood.com,,1269155921
3,1,0.333333333,1,Atlanta Thai restaurant,Thai Fusion,Delicious Thai Cuisine from Atlanta&#39;s Authentic Thai Restaurant ,www.thaifusionatlanta.com,"2140 Peachtree Rd Nw, Suite 130, Atlanta",1269049719
2,1,0.5,1,Oakland Thai restaurant,Summer Summer Thai Eatery,Delicious Thai food in Emeryville ,summersummerthai.com,"5885 Hollis St, Emeryville, CA 94608",1269049816
2,1,0.5,1,Denver Chinese restaurant,Twin Dragon Restaurant,Denver&#39;s Best Chinese Restaurant! (303) 781-8068 - Delivery Available ,www.TwinDragonRestaurant.com,"3021 S. Broadway, Englewood, CO 80113",1269050382
4,4,1,0,Las Vegas best restaurant,Vegas Dining Experience,Dine Among Coursing Waterfalls and Lavish Gardens - All on the Strip! ,www.WynnLasVegas.com/Dining,"Las Vegas, NV",1269155550
3,2,0.666666667,1,Los Angeles fine dining restaurant,Casino Dining,"Dine and Play Our Wide Selection Of 2,000 Slots &amp; Video Machines. ",www.ChumashCasino.com/Dining,"Los Angeles, CA",1269153341
2,1,0.5,1,New York best restaurant,&#39;21&#39; Club,Dine in the heart of Midtown at the famous &#39;21&#39; restaurant. Book online ,www.21club.com,"21 West 52nd Street, New York City, NY",1269155286
4,2,0.5,1,New York Comfort food,&#39;21&#39; Club,Dine in the heart of Midtown at the famous &#39;21&#39; restaurant. Book online ,www.21club.com,"21 West 52nd Street, New York City, NY",1269141484
4,1,0.25,1,New York fine dining restaurant,&#39;21&#39; Club,Dine in the heart of Midtown at the famous &#39;21&#39; restaurant. Book online ,www.21club.com,"21 West 52nd Street, New York City, NY",1269153327
4,3,0.75,0,New York romantic restaurant,&#39;21&#39; Club,Dine in the heart of Midtown at the famous &#39;21&#39; restaurant. Book online ,www.21club.com,"21 West 52nd Street, New York City, NY",1269153884
4,2,0.5,1,San Francisco Thai restaurant,Rin&#39;s Thai Restaurant,Dine in. Take out. Free delivery! Check out our menu. Order now! ,www.RinsThaiSF.com,"4301 24th St, San Francisco, CA",1269049521
3,2,0.666666667,1,Milwaukee Italian restaurant,Milwaukee Italian Restaurant,Dine on Authentic Italian Cuisine in an Historic &amp; Elegant Setting. ,www.LibiamoRestaurant.com,,1269048946
2,1,0.5,1,Jacksonville Japanese restaurant,Sushi Lounge and Bar,Dine on Authentic Japanese Cuisine! Award-Winning Sushi Restaurant. ,dishrestaurantmemphis.com,"Jacksonville, FL",1269052249
2,1,0.5,1,Memphis Japanese restaurant,Sushi Lounge and Bar,Dine on Authentic Japanese Cuisine! Award-Winning Sushi Restaurant. ,dishrestaurantmemphis.com,"Memphis, TN",1269052309
3,2,0.666666667,1,Miami romantic restaurant,The Melting Pot Miami,Dip Into Romantic Fondue Specials. Miami&#39;s Choice for Valentines Week. ,www.meltingpot.com,,1269154289
2,2,1,0,San Diego Bar restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269132446
4,2,0.5,1,San Diego fine dining restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269153419
3,2,0.666666667,1,San Diego healthy restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269154824
4,3,0.75,0,San Diego romantic restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269153966
4,2,0.5,1,San Diego romantic restaurant,Aladdin Restaurant,"Eat Healthy, Come to Aladdin! Fresh Mediterranean Cuisine ",AladdinCafe.com,5420 Clairemont Mesa Blvd #101,1269153966
4,4,1,0,Phoenix best restaurant,The Good Egg,"Eggceptional Breakfast and Lunch. Famous Cinnamon Rolls. Phx, Tucson. ",www.TheGoodEggAZ.com,,1269155316
2,2,1,0,Los Angeles Japanese restaurant,"Yamashiro - Hollywood, CA",Elegant CalAsian Cuisine and Sushi. Stunning View and Interior Garden. ,www.YamashiroRestaurant.com,"Los Angeles, CA",1269052142
3,3,1,0,Los Angeles romantic restaurant,"Yamashiro - Hollywood, CA",Elegant CalAsian Cuisine and Sushi. Stunning View and Interior Garden. ,www.YamashiroRestaurant.com,"Los Angeles, CA",1269153899
3,1,0.333333333,1,Boston romantic restaurant,Boston Romantic Hotel,"Elegant Rooms, Suites &amp; Back Bay Setting. Experience the New Luxury. ",www.MandarinOriental.com,"776 Boylston Street, Boston, MA 02199",1269154071
4,4,1,0,Miami fine dining restaurant,South Beach 5 Star Dining,"Embrace Elegance, Luxury &amp; Serenity at Miami&#39;s Premier 5 Star Resort. ",www.Setai.com,,1269153755
5,5,1,0,Oakland Bar restaurant,Restaurante Oakland,Encuentra el restaurante o bar que buscas en Oakland online ahora! ,www.SeccionAmarillaUS.com,,1269132791
2,1,0.5,1,Boston Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054196
3,1,0.333333333,1,Charlotte fine dining restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269153522
3,1,0.333333333,1,Charlotte Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054168
3,1,0.333333333,1,Chicago Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053645
3,1,0.333333333,1,Chicago Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053098
2,1,0.5,1,Cleveland Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054391
2,1,0.5,1,Colorado Springs Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053547
2,1,0.5,1,Dallas Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053147
3,1,0.333333333,1,Denver Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053323
