No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
2,1,0.5,Albuquerque Greek restaurant,Greek Restaurants,Find Greek Restaurants &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269148280
2,2,1,Albuquerque Greek restaurant,Albuquerque Greek Restaurant,Find local mediterranean dining in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269148280
1,1,1,Albuquerque healthy restaurant,Albuquerque Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269155064
1,1,1,Albuquerque Indian restaurant,Bing ™ Search Local,Albuquerque Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056227
1,1,1,Albuquerque Irish bar restaurant,Albuquerque Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269134148
2,1,0.5,Albuquerque Italian restaurant,Albuquerque Italian Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269049048
2,2,1,Albuquerque Italian restaurant,ABQ&#39;s Best Restaurants,"Entree Photos, Real Menus &amp; Virtual Tours of ABQ&#39;s Best Restaurants ",www.VirtualAlbuquerque.com,,1269049048
1,1,1,Albuquerque Japanese restaurant,Bing ™ Search Local,Albuquerque Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052851
3,1,0.333333333,Albuquerque Korean restaurant,Korean restaurnat Myungga,"Authentic Korean cuisine in London BBQ, Kimchi, Bibimbap since 1990 ",www.myungga.co.uk,,1269051051
3,2,0.666666667,Albuquerque Korean restaurant,Asian Restaurants,Find local asian restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269051051
3,3,1,Albuquerque Korean restaurant,Ethnic Restaurant Coupons,New Mexico Coupons Print Now - Save Today ,nmmarketplace.yourcouponnetwork.com,,1269051051
1,1,1,Albuquerque Mexican restaurant,Mexican Food &amp; Dining,"Find Mexican Restaurants &amp; Grills - Fresh Burritos, Tacos &amp; more. ",yellowpages.com,"Albuquerque-Santa Fe, NM",1269152885
2,1,0.5,Albuquerque Middle Eastern restaurant,Middle Eastern Cafes,Middle Eastern Cuisine Near You. Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269141236
2,2,1,Albuquerque Middle Eastern restaurant,Middle-East Restaurants,Find local middle-east restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269141236
2,1,0.5,Albuquerque romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154196
2,2,1,Albuquerque romantic restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269154196
2,1,0.5,Albuquerque Spanish restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269152331
2,2,1,Albuquerque Spanish restaurant,Albuquerque Businesses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269152331
1,1,1,Albuquerque Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054323
1,1,1,Albuquerque Steakhouse restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269053420
1,1,1,Albuquerque Sushi restaurant,Japanese Restaurants,Find local japanese restaurants in the Albuquerque area. ,www.DexKnows.com,"Albuquerque, NM",1269051887
1,1,1,Albuquerque Tapas restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269150951
2,1,0.5,Albuquerque Thai restaurant,Thai Restaurants,Find Thai Restaurants &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269049725
2,2,1,Albuquerque Thai restaurant,Albuquerque Thai Restaurant,Albuquerque thai restaurants. Find local businesses on DexKnows. ,www.DexKnows.com,New Mexico,1269049725
2,1,0.5,Albuquerque Vegan restaurant,Albuquerque Businesses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269055652
2,2,1,Albuquerque Vegan restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269055652
2,1,0.5,Albuquerque Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054844
2,2,1,Albuquerque Vegetarian restaurant,Vegetarian Restaurants,Vegetarian Restaurants &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269054844
1,1,1,Albuquerque Wine Bar restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269133571
1,1,1,Arlington Bar restaurant,Arlington Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269132861
1,1,1,Arlington best restaurant,#1 Arlington Restaurant,Famous for Fresh Local Ingredients Served in The Heart Of Clarendon. ,www.HarrysTapRoom.com,,1269156039
1,1,1,Arlington Brazilian steakhouse,Arlington Brazilian Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269150578
1,1,1,Arlington Chinese restaurant,Arlington Chinese Restaurant,Arlington Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050658
1,1,1,Arlington Ethiopian restaurant,Arlington Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269132306
2,1,0.5,Arlington fine dining restaurant,#1 Arlington Restaurant,Famous for Fresh Local Ingredients Served in The Heart Of Clarendon. ,www.HarrysTapRoom.com,,1269153820
2,2,1,Arlington fine dining restaurant,Fine Dining,Find DC’s best restaurants at washingtonpost.com ,www.washingtonpost.com/gog,"Washington, DC (Hagerstown, MD)",1269153820
1,1,1,Arlington French restaurant,Arlington French Restaurant,Arlington Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147627
1,1,1,Arlington Greek restaurant,Arlington Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148446
1,1,1,Arlington healthy restaurant,#1 Arlington Restaurant,Famous for Fresh Local Ingredients Served in The Heart Of Clarendon. ,www.HarrysTapRoom.com,,1269155222
1,1,1,Arlington Indian restaurant,Arlington Indian Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269056673
1,1,1,Arlington Irish bar restaurant,Arlington Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269140461
1,1,1,Arlington Italian restaurant,Arlington Italian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049351
1,1,1,Arlington Japanese restaurant,Arlington Japanese Food,See all restaurants that deliver to Arlington. Order online today. ,www.GrubHub.com/Arlington,,1269053016
1,1,1,Arlington Korean restaurant,Korean restaurnat Myungga,"Authentic Korean cuisine in London BBQ, Kimchi, Bibimbap since 1990 ",www.myungga.co.uk,,1269051504
1,1,1,Arlington Mexican restaurant,Arlington Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269153045
1,1,1,Arlington Middle Eastern restaurant,Bing™ Search Local,Arlington Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141413
2,1,0.5,Arlington romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154692
2,2,1,Arlington romantic restaurant,Indigo Landing Restaurant,"Spectacular view of the Nation&#39;s Capital skyline from Alexandria, VA ",www.IndigoLanding.com,"1 Marina Dr, Alexandria, VA",1269154692
1,1,1,Arlington Spanish restaurant,#1 Arlington Restaurant,Famous for Fresh Local Ingredients Served in The Heart Of Clarendon. ,www.HarrysTapRoom.com,,1269152491
1,1,1,Arlington Steak restaurant,Ruth&#39;s Chris Steak House,The greatest steak you&#39;ve ever had. Reserve your Arlington table now. ,www.ruthschris.com,,1269054486
2,1,0.5,Arlington Steakhouse restaurant,Arlington Steakhouses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269053564
2,2,1,Arlington Steakhouse restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your Arlington table now. ,www.ruthschris.com,"Arlington, VA",1269053564
1,1,1,Arlington Sushi restaurant,Arlington Restaurant Food,See all restaurants that deliver to Arlington. Order online today. ,www.GrubHub.com/Arlington,,1269052057
1,1,1,Arlington Tapas restaurant,#1 Arlington Restaurant,Famous for Fresh Local Ingredients Served in The Heart Of Clarendon. ,www.HarrysTapRoom.com,,1269151092
1,1,1,Arlington Thai restaurant,Arlington Thai Restaurant,Arlington Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050084
1,1,1,Arlington Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055813
2,1,0.5,Arlington Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055007
2,2,1,Arlington Vegetarian restaurant,Arlington Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269055007
1,1,1,Arlington Wine Bar restaurant,Arlington Restaurants,Arlington Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133737
1,1,1,Atlanta Bar restaurant,Restaurant Bar,Great Specials Every Day. Visit Houlihan&#39;s Today. ,Houlihans.com/Specials,"1401 Johnson Ferry Rd, Marietta, GA",1269132681
3,1,0.333333333,Atlanta best restaurant,Wisteria Restaurant,Voted Best of Atlanta Restaurants Best Neighborhood-Southern Cuisine ,wisteria-atlanta.com,Georgia,1269155601
3,2,0.666666667,Atlanta best restaurant,Atlanta 1-Day Coupons,"Up to 90% off the best stuff to do! Restaurants, spas, events and more ",deals.livingsocial.com,"Atlanta, GA",1269155601
3,3,1,Atlanta best restaurant,#1 Atlanta Body Wrap Spa,"Lose 6-30 &quot; 1st Wrap. Fast, Easy, Rid Cellulite &amp; Stretchmarks, Detox ",www.SuddenlySlimmerAtlanta.com,"5270 Peachtree Pkwy, Norcross, GA 30092",1269155601
1,1,1,Atlanta Brazilian steakhouse,Atlanta Steakhouses,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269150401
1,1,1,Atlanta Chinese restaurant,Atlanta Chinese Restaurant,Atlanta Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050471
1,1,1,Atlanta fine dining restaurant,Fleming&#39;s in Atlanta,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Georgia,1269153652
1,1,1,Atlanta French restaurant,Atlanta French Restaurant,Atlanta Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147445
1,1,1,Atlanta Greek restaurant,Greek Foods and More,Imported Ethnic Foods From Around the World ,www.parthenonfoods.com,,1269148266
1,1,1,Atlanta healthy restaurant,EVOS Feel Great Fast Food,"Try our healthier wraps, salads, shakes, and signature Airfries! ",www.evos.com,"Suite 2, 855 Peachtree Street, Atlanta, GA",1269155049
1,1,1,Atlanta Indian restaurant,Atlanta Indian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269056215
1,1,1,Atlanta Irish bar restaurant,Atlanta Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134143
1,1,1,Atlanta Italian restaurant,Atlanta Italian Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269049037
2,1,0.5,Atlanta Japanese restaurant,Atlanta Japanese Restaurant,Atlanta Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052841
2,2,1,Atlanta Japanese restaurant,Benihana in Georgia,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052841
2,1,0.5,Atlanta Korean restaurant,김치냉장고 구입 문의,지금 Hmart.com에 연락해 주세요. 201-229-111 또는 Online@hmart.com ,www.Hmart.com,Georgia,1269051042
2,2,1,Atlanta Korean restaurant,Korean Restaurant Atlanta,Get Korean Restaurant Atlanta Info Access 10 Search Engines At Once. ,Info.com/KoreanRestaurantAtlanta,,1269051042
1,1,1,Atlanta Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269141227
2,1,0.5,Atlanta romantic restaurant,Romantic Hotel Packages,Official Site: The Georgian Terrace Romantic Hotel. Book Online Today. ,TheGeorgianTerrace.com,,1269154186
2,2,1,Atlanta romantic restaurant,PEASANT bistro Downtown,Seasonal French/American Cuisine Near all Venues and Attractions ,www.peasantatl.com,"Atlanta, GA",1269154186
1,1,1,Atlanta Spanish restaurant,Bing ™ Search Local,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269152319
2,1,0.5,Atlanta Steak restaurant,Fleming&#39;s in Atlanta,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Georgia,1269054313
2,2,1,Atlanta Steak restaurant,Atlanta Steak Dining,Search Our Restaurants Listings For Steak Houses &amp; Diners Near You! ,yellowpages.com,"Atlanta, GA",1269054313
2,1,0.5,Atlanta Steakhouse restaurant,Fleming&#39;s in Atlanta,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Georgia,1269053412
2,2,1,Atlanta Steakhouse restaurant,Atlanta Steakhouses,Atlanta Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269053412
2,1,0.5,Atlanta Sushi restaurant,Atlanta Sushi,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Atlanta, GA",1269051875
2,2,1,Atlanta Sushi restaurant,Atlanta Sushi Restaurants,Atlanta Area Dining Guide. Complete Local Restaurant Listings. ,HelloAtlanta.com,,1269051875
4,1,0.25,Atlanta Tapas restaurant,Olive Garden® Restaurant,"Come In &amp; Try New Grilled Steak Fonduta, Complete With Fettuccine! ",www.OliveGarden.com,,1269150939
4,2,0.5,Atlanta Tapas restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269150939
4,3,0.75,Atlanta Tapas restaurant,Wisteria Restaurant,Voted Best of Atlanta Restaurants Best Neighborhood-Southern Cuisine ,wisteria-atlanta.com,Georgia,1269150939
4,4,1,Atlanta Tapas restaurant,Spanish Class in atlanta,Spanish Classes for adults Spanish Afterschool program ,www.spanishclassesatlanta.com,"Atlanta, GA",1269150939
3,1,0.333333333,Atlanta Thai restaurant,Thai Fusion,Delicious Thai Cuisine from Atlanta&#39;s Authentic Thai Restaurant ,www.thaifusionatlanta.com,"2140 Peachtree Rd Nw, Suite 130, Atlanta",1269049719
3,2,0.666666667,Atlanta Thai restaurant,Atlanta Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049719
3,3,1,Atlanta Thai restaurant,Atlanta Thai Restaurants,Look for Top-rated Thai Restaurant near you with our Ratings! ,atlanta.Citysearch.com,"Atlanta, GA",1269049719
1,1,1,Atlanta Vegan restaurant,Bing™ Search Local,Atlanta Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269055645
2,1,0.5,Atlanta Vegetarian restaurant,Veg Food in Atlanta,Find veg-friendly restaurants and shopping in Atlanta ,www.VegGuide.Org,,1269054839
2,2,1,Atlanta Vegetarian restaurant,Atlanta Korean Restaurant,Love Authentic Asian Cuisine? Visit Us Today To Dine On Delicious Food! ,HaeWoonDaeBbq.com,,1269054839
1,1,1,Atlanta Wine Bar restaurant,Atlanta Wine Bars,Look for Top-rated Wine Bars near you with our Ratings! ,Atlanta.Citysearch.com,,1269133228
1,1,1,Austin Bar restaurant,Restaurants &amp; Bars,Find Austin Bars that Don&#39;t Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Austin, TX",1269132504
2,1,0.5,Austin best restaurant,"Sullivan&#39;s Austin, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269155413
2,2,1,Austin best restaurant,Top Austin Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269155413
1,1,1,Austin Brazilian steakhouse,Ruth&#39;s Chris Steak House,The greatest steak you&#39;ve ever had. Reserve your Austin table now. ,www.ruthschris.com,,1269148647
3,1,0.333333333,Austin Chinese restaurant,Chinese Online Delivery,Order Directly from the Restaurant With No Extra Charge! Menus Online ,Austin.Eat24Hours.com,,1269050279
3,2,0.666666667,Austin Chinese restaurant,Chinese Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269050279
3,3,1,Austin Chinese restaurant,Chinese Restaurants,"Search Our Restaurants Listings For Chinese Buffet, Take-Out &amp; Delivery ",yellowpages.com,"Austin, TX",1269050279
1,1,1,Austin Ethiopian restaurant,Austin Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269056858
2,1,0.5,Austin fine dining restaurant,"Sullivan&#39;s Austin, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269153491
2,2,1,Austin fine dining restaurant,Dining Restaurant Austin,Unique European Cuisine in Austin. Happy Hour Specials. Visit Tonight. ,www.PecheAustin.com,,1269153491
2,1,0.5,Austin French restaurant,Austin French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147266
2,2,1,Austin French restaurant,Austin French Restaurant,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269147266
1,1,1,Austin Greek restaurant,Austin Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148091
1,1,1,Austin healthy restaurant,Healthy Restaurant Austin,Unique European Cuisine in Austin. Happy Hour Specials. Visit Tonight. ,www.PecheAustin.com,,1269154890
1,1,1,Austin Indian restaurant,Austin Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269056023
1,1,1,Austin Irish bar restaurant,Austin Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269133957
2,1,0.5,Austin Italian restaurant,Cannoli Joe&#39;s - Italian,Gourmet Italian Food Fantastic Weekend Brunch ,www.cannolijoes.com,"Austin, TX",1269048846
2,2,1,Austin Italian restaurant,Austin Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269048846
1,1,1,Austin Japanese restaurant,Japanese Food,Plan ahead &amp; enjoy a great Japanese dish! See our local lists. ,Yellowbook.com,,1269052267
1,1,1,Austin Korean restaurant,Austin Korean Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269050868
1,1,1,Austin Mediterranean restaurant,Zagat Texas,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269142523
3,1,0.333333333,Austin Mexican restaurant,Mexican Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269152701
3,2,0.666666667,Austin Mexican restaurant,Austin Mexican Restaurant,"Breakfast, Lunch, &amp; Dinner. Enjoy Comfortable &amp; Casual Dining Today! ",ElBorregoDeOro.com,,1269152701
3,3,1,Austin Mexican restaurant,Austin Mexican Restaurant,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269152701
1,1,1,Austin Middle Eastern restaurant,Austin Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269140661
3,1,0.333333333,Austin romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154015
3,2,0.666666667,Austin romantic restaurant,Romantic Restaurant Austin,Unique European Cuisine in Austin. Happy Hour Specials. Visit Tonight. ,www.PecheAustin.com,,1269154015
3,3,1,Austin romantic restaurant,Austin Date Restaurants,Go to Date Spots that Don&#39;t Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Austin, TX",1269154015
1,1,1,Austin Spanish restaurant,Austin Spanish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269152108
3,1,0.333333333,Austin Steak restaurant,Roy&#39;s Hawaiian Fusion,Enjoy Hawaiian fine dining in Austin. Reserve your table today. ,RoysRestaurant.com,"Austin, TX",1269054143
3,2,0.666666667,Austin Steak restaurant,"Sullivan&#39;s Austin, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054143
3,3,1,Austin Steak restaurant,Fleming&#39;s in Texas,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Texas,1269054143
2,1,0.5,Austin Steakhouse restaurant,Ruth&#39;s Chris Steak House,The greatest steak you&#39;ve ever had. Reserve your Austin table now. ,www.ruthschris.com,,1269053211
2,2,1,Austin Steakhouse restaurant,Austin Hilton-finn&amp;porter,Read reviews for this Restaurant &amp; find local Restaurant Information ,Austin.Citysearch.com,,1269053211
2,1,0.5,Austin Sushi restaurant,Sushi Online Delivery,Order Food Delivery Online From Your Favorite Local Restaurant ,Austin.Eat24Hours.com,,1269051700
2,2,1,Austin Sushi restaurant,Sushi Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269051700
1,1,1,Austin Tapas restaurant,Austin Tapas Bars,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269150774
2,1,0.5,Austin Thai restaurant,Thai Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269049548
2,2,1,Austin Thai restaurant,Thai Online Delivery,Order Food Delivery Online From Your Favorite Local Restaurant ,Austin.Eat24Hours.com,,1269049548
1,1,1,Austin Vegan restaurant,Austin Vegan Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269055449
1,1,1,Austin Vegetarian restaurant,Austin Vegetarian Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269054672
1,1,1,Austin Wine Bar restaurant,Malaga Tapas &amp; Bar,Cooking and Wine Classes. Private Parties. Catering. Call to Inquire. ,www.MalagaTapasBar.com,"440 West 2nd Street, Austin, TX 78701",1269133046
2,1,0.5,Baltimore best restaurant,Roy&#39;s Hawaiian Fusion,Enjoy Hawaiian fine dining in Baltimore. Reserve your table. ,RoysRestaurant.com,"Baltimore, MD",1269155463
2,2,1,Baltimore best restaurant,Best Baltimore Restaurant,All About Best Baltimore Restaurant Best Baltimore Restaurant in One Site! ,Peeplo.com/Best+Baltimore+Restaurant,,1269155463
2,1,0.5,Baltimore Chinese restaurant,Baltimore Chinese Food,Craving Chinese? Search Listings For Chinese Restaurants &amp; Delivery! ,yellowpages.com,"Baltimore, MD",1269050333
2,2,1,Baltimore Chinese restaurant,Chinese Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269050333
1,1,1,Baltimore Ethiopian restaurant,Baltimore Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269056905
3,1,0.333333333,Baltimore fine dining restaurant,Restaurant Furniture,"Wholesale Chairs, Tables &amp; More. Indoor &amp; Outdoor. Free Quote. ",www.beaufurn.com,,1269153536
3,2,0.666666667,Baltimore fine dining restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your Baltimore table now. ,www.ruthschris.com,,1269153536
3,3,1,Baltimore fine dining restaurant,The Prime Rib Fine Dining,The Prime Rib Restaurant For All Special Occasions. DC/MD/PA ,www.theprimerib.com,,1269153536
1,1,1,Baltimore French restaurant,Baltimore French Restaurant,Baltimore Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147323
1,1,1,Baltimore Greek restaurant,Baltimore Greek Restaurant,Baltimore Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148121
1,1,1,Baltimore Indian restaurant,Baltimore Indian Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269056084
1,1,1,Baltimore Italian restaurant,Baltimore Italian Restaurant,Baltimore Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269048912
2,1,0.5,Baltimore Japanese restaurant,Baltimore Restaurants,"Search Our Baltimore Listings for For Restaurants, Reviews &amp; Menus! ",yellowpages.com,"Baltimore, MD",1269052319
