No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
1,1,vegetarian restaurant review,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100240
3,1,vegan guide,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100248
3,2,vegan guide,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100248
3,3,vegan guide,Vegan? Diabetic? Kosher?,Get involved in the debate. Your opinion matters. FInd out more! ,bilumi.org,,1270100248
4,1,dating vegetarian,Official Dating Site - eH,Dating Can be Difficult. Let Our Dating System Work for You Now. ,www.eHarmony.com,,1270100256
4,2,dating vegetarian,Vegetarian Dating,Receive Free Vegetarian Matches That Share Your Views and Tastes! ,PerfectMatch.com,,1270100256
4,3,dating vegetarian,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100256
4,4,dating vegetarian,Free Dating,Date Local Women and Get Some. Get In On The Action. Date Now! ,Adult-X-Personals.com,,1270100256
2,1,vegan vegitarian,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100269
2,2,vegan vegitarian,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270100269
3,1,organic vegetarian,Organic Food,Support your local organic farms. Help save local farms &amp; farmland. ,www.Farmland.org/OrganicFood,,1270100282
3,2,organic vegetarian,Organic Food,Organic Valley- Certified Organic Food- Taste The Difference Today! ,www.OrganicValley.coop,,1270100282
3,3,organic vegetarian,Vegan Organic at Amazon,"Huge Selection at Great Low Prices Vitamins, Personal Care and More ",Amazon.com/health,,1270100282
2,1,vegan restaurant guide,VegOut NY Guide,Your New York City vegan and vegetarian restaurant guide. ,www.vegoutny.com,,1270100291
2,2,vegan restaurant guide,Vegan Nutrition 101,Benefits Of Vegan Nutrition. Browse Our Free Articles Now! ,www.LifeScript.com,,1270100291
2,1,vegetarian cafe,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100302
2,2,vegetarian cafe,Vegetarian Restaurants,Search Our Restaurants Listings For Vegetarian Diners &amp; Cafes Near You! ,yellowpages.com,,1270100302
1,1,philadelphia vegetarian restaurants,Visiting Philadelphia?,Official Philly Tourism Guide Plan your travel details here! ,VisitPhilly.com/VisitorsGuide,Pennsylvania,1270100309
1,1,philadelphia vegan restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100320
4,1,raw food vegetarian,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1270100325
4,2,raw food vegetarian,Raw Food Magazine,Leading Raw &amp; Living Food Magazine. Download Your Free Copy Now! ,www.fresh-network.com,,1270100325
4,3,raw food vegetarian,Organic Raw Food &amp; Snacks,Healthy Organic Raw Foods &amp; Snacks Delicious &amp; Many Health Benefits! ,WholeFoodFarmacy.com,,1270100325
4,4,raw food vegetarian,Karmavore Vegan Shop,Vancouver&#39;s Vegan Store! Retail Location &amp; Online Shopping ,karmavore.ca,,1270100325
1,1,vegan restaurant philadelphia,Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270100336
4,1,gluten free vegetarian,Gluten-Free Mall.com,Your Special Diet Superstore! Gluten Free Foods Online ,www.GlutenFreeMall.com,,1270100364
4,2,gluten free vegetarian,Gluten Free Vegetarian,The Magazine For People Who Are Living Gluten Free. ,www.LivingWithout.com,,1270100364
4,3,gluten free vegetarian,Gluten Free Food Source,Gluten-Free Secure Online Shopping Order today! 5000 Gluten Free items ,YourGlutenFreeSource.com,,1270100364
4,4,gluten free vegetarian,Gluten Free Vegetarian,Huge Variety of Gluten-Free Foods. Same Day Shipping. Shop Now! ,www.vitacost.com/Gluten-Free,,1270100364
2,1,vegan friendly,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100372
2,2,vegan friendly,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.cornucopia.org/soy,,1270100372
4,1,vegan food products,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100385
4,2,vegan food products,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270100385
4,3,vegan food products,Vegan Organic Food Bars,"Finest Quality Organic, Kosher Food Bars. Low Prices. Broad Selection. ",www.worldpantry.com,,1270100385
4,4,vegan food products,Vegan Recipes,Alicia Silverstone Backs 21-Day Vegan Kickstart. Read More. ,ThatsFit.com,,1270100385
1,1,manna vegetarian,Manna,Meals Delivered to Those With Life Threatening Illness. Apply Online. ,www.mannapa.org,"12 S 23rd St, Philadelphia, PA 19103",1270100391
4,1,best romantic restaurants,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1270100405
4,2,best romantic restaurants,Top Romantic Restaurant,Reserve Your Table At The Top-Rated Four Seasons Fountain Restaurant. ,FourSeasons.com/Philadelphia,"Philadelphia, PA",1270100405
4,3,best romantic restaurants,Romantic Restaurants,"Find Romantic Restaurants for Valentine&#39;s Day - Reviews, Listings ",yellowpages.com,,1270100405
4,4,best romantic restaurants,Tapatoo Resort,Number 1 Restaurant in Parry Sound Chef Roy Returns Excellence is Back ,www.KellermansResort.com,,1270100405
2,1,rittenhouse square restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100420
2,2,rittenhouse square restaurants,Casual Romantic Dining,"Relaxed &amp; Friendly Near Rittenhouse 261 S. 21st St. Philadelphia, PA. ",www.fridaysaturdaysunday.com,"Philadelphia, PA",1270100420
4,1,vegetarian bakery,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100440
4,2,vegetarian bakery,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270100440
4,3,vegetarian bakery,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100440
4,4,vegetarian bakery,Order Vegan Cakes,"National Home Delivery! Cakes, Pies Yummy Cheesecakes, Tiramisu &amp; More ",www.buykind.com/vegancakes.html,,1270100440
1,1,vegan resturant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100449
1,1,vegan restaurants in philadelphia,Philadelphia Restaurants,Find Dinner and Lunch Options And Plan Your Trip To Philly Now! ,VisitPhilly.com/Restaurants,Pennsylvania,1270100461
4,1,vegan health food,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100466
4,2,vegan health food,Skinny Couple (in a box),New box set of bestselling series by Rory Freedman and Kim Barnouin ,www.skinnybitch.net,,1270100466
4,3,vegan health food,Maru Global Takoyaki,All-Day quick delivery of the most authentic Japanese in the city! ,www.maruphilly.com,"Philadelphia, PA",1270100466
4,4,vegan health food,Organic Food,Organic Valley- Certified Organic Food- Taste The Difference Today! ,www.OrganicValley.coop,,1270100466
1,1,raw vegan restaurant,The Raw Food World,"Raw Food TV Show, Radio Show Super Foods Store, Community &amp; More ",www.TheRawFoodWorld.com,,1270100472
1,1,truly vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100481
1,1,vegetarian philadelphia,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100494
1,1,vegan restaurant menu,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100502
1,1,natural food restaurants,Natural Food Restaurants,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270100508
3,1,great vegetarian food,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1270100522
3,2,great vegetarian food,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100522
3,3,great vegetarian food,Great Vegetarian Food,Buy great vegetarian food at Amazon! Qualified orders over $25 ship free ,Amazon.com,,1270100522
4,1,restaurants downtown philadelphia,Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270100527
4,2,restaurants downtown philadelphia,Visiting Philadelphia?,Official Philly Tourism Guide Plan your travel details here! ,VisitPhilly.com/VisitorsGuide,Pennsylvania,1270100527
4,3,restaurants downtown philadelphia,Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270100527
4,4,restaurants downtown philadelphia,Japanese Restaurants,Find user-reviewed Japanese Restaurants in your area. ,Philadelphia.Citysearch.com,"Philadelphia, PA",1270100527
3,1,gluten free vegan,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100536
3,2,gluten free vegan,Vegan Gluten-free,Save on Vegan gluten-free! Qualified orders over $25 ship free ,Amazon.com/books,,1270100536
3,3,gluten free vegan,Gluten Free Snack Bar,"Gluten, soy, and dairy free treats. Delicious &amp; healthy. Try them Today ",www.NugoNutrition.com,,1270100536
2,1,vegan caterers,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100541
2,2,vegan caterers,Vegetarian Caterers,"Wine Pairing Service, Philadelphia. Mention Site for 20% Off Service. ",AChefForYouLLC.com,"Philadelphia, PA",1270100541
1,1,truly a vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100554
1,1,blossom vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100566
1,1,organic vegetarian restaurant,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100576
1,1,vegan restaraunts,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100588
1,1,organic vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100600
1,1,gourmet vegan restaurant,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100613
2,1,find vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100625
2,2,find vegetarian restaurants,Vegetarian Restaurants,Search Our Restaurants Listings For Vegetarian Diners &amp; Cafes Near You! ,yellowpages.com,,1270100625
2,1,vegan restraunts,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100639
2,2,vegan restraunts,All Vegan Shopping,Vegan Products at affordable prices $5.95 Shipping ,www.vegangoods.com,,1270100639
3,1,vegan restaurant finder,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.Cornucopia.org/Soy,,1270100649
3,2,vegan restaurant finder,Vegetarian Restaurants,Search Our Restaurants Listings For Vegetarian Diners &amp; Cafes Near You! ,yellowpages.com,,1270100649
3,3,vegan restaurant finder,Vegan Dining,Check Out Local.com To Find Vegan Dining In Your Area! ,Local.com,"Philadelphia, PA",1270100649
1,1,good vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100659
1,1,romantic vegetarian restaurants,Top Romantic Restaurant,Reserve Your Table At The Top-Rated Four Seasons Fountain Restaurant. ,FourSeasons.com/Philadelphia,"Philadelphia, PA",1270100669
2,1,local vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100676
2,2,local vegetarian restaurants,Vegetarian Restaurants,Search Our Restaurants Listings For Vegetarian Diners &amp; Cafes Near You! ,yellowpages.com,,1270100676
